"","DBN","School Name.x","Year.x","Percent_Attendance","Demographic Category","Demographic Variable","Percent_Chronically_Absent","School Name.y","Year.y","Total Enrollment","Grade 4","% Female","% Male","% Black","% White","% Students with Disabilities","% Poverty","Economic Need Index","G&T","Gen Ed","ICT","ICT & G&T","SC 12:1","SC 12:1:1","SC 15:1","SC 6:1:1","SC 8:1:1"
"44","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","Black","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
"45","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","89.7","All Students","All Students","35.1","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
"46","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","ELL Status","Not ELL","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
"47","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","89.7","Poverty","Poverty","35.1","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
"48","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","White","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
"49","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","92.3","SWD Status","Not SWD","20.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
"50","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","86.7","SWD Status","SWD","52.9","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
"51","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","89.0","Ethnicity","Hispanic","39.1","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
"52","01M063","The STAR Academy - P.S.63","2017-18","95.1","Poverty","Not Poverty","0.0","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"53","01M063","The STAR Academy - P.S.63","2017-18","96.4","Gender","Female","0.0","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"54","01M063","The STAR Academy - P.S.63","2017-18","93.8","Gender","Male","20.0","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"55","01M063","The STAR Academy - P.S.63","2017-18","95.4","ELL Status","Not ELL","8.0","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"56","01M063","The STAR Academy - P.S.63","2017-18","s","Ethnicity","Other","s","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"57","01M063","The STAR Academy - P.S.63","2017-18","93.8","SWD Status","SWD","22.2","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"58","01M063","The STAR Academy - P.S.63","2017-18","s","Ethnicity","White","s","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"59","01M063","The STAR Academy - P.S.63","2017-18","96.2","SWD Status","Not SWD","0.0","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"60","01M063","The STAR Academy - P.S.63","2017-18","95.4","All Students","All Students","8.0","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"61","01M063","The STAR Academy - P.S.63","2017-18","95.5","Poverty","Poverty","11.1","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"62","01M063","The STAR Academy - P.S.63","2017-18","94.9","Ethnicity","Hispanic","6.7","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"63","01M063","The STAR Academy - P.S.63","2017-18","s","Ethnicity","Black","s","The STAR Academy - P.S.63","2017-18",203,23,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,23,NA,NA,NA,NA,NA,NA
"64","01M064","P.S. 064 Robert Simon","2017-18","s","ELL Status","ELL","s","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"65","01M064","P.S. 064 Robert Simon","2017-18","s","Ethnicity","White","s","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"66","01M064","P.S. 064 Robert Simon","2017-18","94.4","SWD Status","Not SWD","18.2","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"67","01M064","P.S. 064 Robert Simon","2017-18","s","ELL Status","Not ELL","s","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"68","01M064","P.S. 064 Robert Simon","2017-18","s","Poverty","Poverty","s","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"69","01M064","P.S. 064 Robert Simon","2017-18","s","Ethnicity","Asian","s","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"70","01M064","P.S. 064 Robert Simon","2017-18","94.3","Gender","Male","12.0","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"71","01M064","P.S. 064 Robert Simon","2017-18","91.5","SWD Status","SWD","26.7","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"72","01M064","P.S. 064 Robert Simon","2017-18","s","Poverty","Not Poverty","s","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"73","01M064","P.S. 064 Robert Simon","2017-18","90.8","Gender","Female","41.7","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"74","01M064","P.S. 064 Robert Simon","2017-18","91.9","Ethnicity","Black","14.3","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"75","01M064","P.S. 064 Robert Simon","2017-18","93.4","Ethnicity","Hispanic","23.1","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"76","01M064","P.S. 064 Robert Simon","2017-18","93.2","All Students","All Students","21.6","P.S. 064 Robert Simon","2017-18",245,36,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,26,NA,NA,NA,NA,NA,NA
"77","01M110","P.S. 110 Florence Nightingale","2017-18","95.1","Gender","Female","16.1","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"78","01M110","P.S. 110 Florence Nightingale","2017-18","92.6","Ethnicity","Black","28.6","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"79","01M110","P.S. 110 Florence Nightingale","2017-18","s","Ethnicity","Other","s","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"80","01M110","P.S. 110 Florence Nightingale","2017-18","95.4","ELL Status","Not ELL","11.5","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"81","01M110","P.S. 110 Florence Nightingale","2017-18","95.4","All Students","All Students","11.5","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"82","01M110","P.S. 110 Florence Nightingale","2017-18","94.0","Poverty","Poverty","16.7","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"83","01M110","P.S. 110 Florence Nightingale","2017-18","97.3","Poverty","Not Poverty","4.0","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"84","01M110","P.S. 110 Florence Nightingale","2017-18","97.6","Ethnicity","White","6.7","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"85","01M110","P.S. 110 Florence Nightingale","2017-18","91.3","SWD Status","SWD","25.0","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"86","01M110","P.S. 110 Florence Nightingale","2017-18","95.7","Gender","Male","6.7","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"87","01M110","P.S. 110 Florence Nightingale","2017-18","96.0","SWD Status","Not SWD","9.4","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"88","01M110","P.S. 110 Florence Nightingale","2017-18","93.4","Ethnicity","Hispanic","14.3","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"89","01M110","P.S. 110 Florence Nightingale","2017-18","s","Ethnicity","Asian","s","P.S. 110 Florence Nightingale","2017-18",379,57,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,25,NA,NA,11,NA,NA,NA
"90","01M134","P.S. 134 Henrietta Szold","2017-18","88.7","All Students","All Students","50.8","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"91","01M134","P.S. 134 Henrietta Szold","2017-18","87.2","Ethnicity","Hispanic","57.1","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"92","01M134","P.S. 134 Henrietta Szold","2017-18","s","Poverty","Not Poverty","s","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"93","01M134","P.S. 134 Henrietta Szold","2017-18","s","Poverty","Poverty","s","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"94","01M134","P.S. 134 Henrietta Szold","2017-18","91.5","SWD Status","Not SWD","37.9","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"95","01M134","P.S. 134 Henrietta Szold","2017-18","s","Ethnicity","Asian","s","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"96","01M134","P.S. 134 Henrietta Szold","2017-18","88.1","Gender","Female","48.0","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"97","01M134","P.S. 134 Henrietta Szold","2017-18","s","ELL Status","ELL","s","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"98","01M134","P.S. 134 Henrietta Szold","2017-18","s","Ethnicity","White","s","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"99","01M134","P.S. 134 Henrietta Szold","2017-18","89.2","Gender","Male","52.8","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"100","01M134","P.S. 134 Henrietta Szold","2017-18","86.4","SWD Status","SWD","62.5","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"101","01M134","P.S. 134 Henrietta Szold","2017-18","88.7","Ethnicity","Black","52.9","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"102","01M134","P.S. 134 Henrietta Szold","2017-18","s","ELL Status","Not ELL","s","P.S. 134 Henrietta Szold","2017-18",297,57,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,NA,23.5,NA,NA,10.3,NA,NA,NA
"103","01M140","P.S. 140 Nathan Straus","2017-18","92.6","ELL Status","ELL","50.0","P.S. 140 Nathan Straus","2017-18",371,28,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,25,NA,NA,NA,9.2,NA,NA,NA
"104","01M140","P.S. 140 Nathan Straus","2017-18","92.2","SWD Status","Not SWD","31.6","P.S. 140 Nathan Straus","2017-18",371,28,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,25,NA,NA,NA,9.2,NA,NA,NA
"105","01M140","P.S. 140 Nathan Straus","2017-18","88.6","SWD Status","SWD","70.0","P.S. 140 Nathan Straus","2017-18",371,28,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,25,NA,NA,NA,9.2,NA,NA,NA
"106","01M140","P.S. 140 Nathan Straus","2017-18","s","Poverty","Poverty","s","P.S. 140 Nathan Straus","2017-18",371,28,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,25,NA,NA,NA,9.2,NA,NA,NA
"107","01M140","P.S. 140 Nathan Straus","2017-18","s","Poverty","Not Poverty","s","P.S. 140 Nathan Straus","2017-18",371,28,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,25,NA,NA,NA,9.2,NA,NA,NA
"108","01M140","P.S. 140 Nathan Straus","2017-18","91.8","Gender","Female","25.0","P.S. 140 Nathan Straus","2017-18",371,28,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,25,NA,NA,NA,9.2,NA,NA,NA
"109","01M140","P.S. 140 Nathan Straus","2017-18","90.5","Gender","Male","58.8","P.S. 140 Nathan Straus","2017-18",371,28,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,25,NA,NA,NA,9.2,NA,NA,NA
"110","01M140","P.S. 140 Nathan Straus","2017-18","90.7","ELL Status","Not ELL","43.5","P.S. 140 Nathan Straus","2017-18",371,28,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,25,NA,NA,NA,9.2,NA,NA,NA
"111","01M140","P.S. 140 Nathan Straus","2017-18","s","Ethnicity","Black","s","P.S. 140 Nathan Straus","2017-18",371,28,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,25,NA,NA,NA,9.2,NA,NA,NA
