"","X","DBN","School.Name.x","Year.x","Percent_Attendance","Demographic.Category","Demographic.Variable","Percent_Chronically_Absent","School.Name.y","Year.y","Total.Enrollment","Grade.3","X..Female","X..Male","X..Black","X..White","X..Students.with.Disabilities","X..Poverty","Economic.Need.Index","Gen.Ed","ICT","SC.12.1","SC.12.1.1","SC.15.1","SC.6.1.1","SC.8.1.1","borough"
"54",54,"01M332","University Neighborhood Middle School","2017-18","89.2","SWD Status","SWD","35.7","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"55",55,"01M332","University Neighborhood Middle School","2017-18","88.9","Gender","Female","37.5","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"56",56,"01M332","University Neighborhood Middle School","2017-18","89.7","Poverty","Poverty","37.9","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"57",57,"01M332","University Neighborhood Middle School","2017-18","90.3","All Students","All Students","34.7","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"58",58,"01M332","University Neighborhood Middle School","2017-18","90.5","Ethnicity","Black","43.5","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"59",59,"01M332","University Neighborhood Middle School","2017-18","s","Ethnicity","White","s","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"60",60,"01M332","University Neighborhood Middle School","2017-18","91.3","Gender","Male","32.5","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"61",61,"01M332","University Neighborhood Middle School","2017-18","90.9","SWD Status","Not SWD","34.1","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"62",62,"01M332","University Neighborhood Middle School","2017-18","89.7","ELL Status","Not ELL","39.3","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"63",63,"01M332","University Neighborhood Middle School","2017-18","s","Ethnicity","Other","s","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"64",64,"01M332","University Neighborhood Middle School","2017-18","94.1","Ethnicity","Asian","16.7","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"65",65,"01M332","University Neighborhood Middle School","2017-18","93.8","ELL Status","ELL","9.1","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"66",66,"01M332","University Neighborhood Middle School","2017-18","95.5","Poverty","Not Poverty","0.0","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
"67",67,"01M378","School for Global Leaders","2017-18","s","ELL Status","ELL","s","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"68",68,"01M378","School for Global Leaders","2017-18","88.3","All Students","All Students","38.7","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"69",69,"01M378","School for Global Leaders","2017-18","88.1","SWD Status","Not SWD","38.8","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"70",70,"01M378","School for Global Leaders","2017-18","87.2","Gender","Male","47.3","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"71",71,"01M378","School for Global Leaders","2017-18","89.5","Gender","Female","29.4","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"72",72,"01M378","School for Global Leaders","2017-18","s","Ethnicity","Other","s","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"73",73,"01M378","School for Global Leaders","2017-18","88.6","SWD Status","SWD","38.5","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"74",74,"01M378","School for Global Leaders","2017-18","89.2","Poverty","Not Poverty","28.6","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"75",75,"01M378","School for Global Leaders","2017-18","s","ELL Status","Not ELL","s","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"76",76,"01M378","School for Global Leaders","2017-18","88.1","Poverty","Poverty","41.2","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"77",77,"01M378","School for Global Leaders","2017-18","94.4","Ethnicity","Asian","16.7","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"78",78,"01M378","School for Global Leaders","2017-18","86.5","Ethnicity","Hispanic","45.5","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"79",79,"01M378","School for Global Leaders","2017-18","89.6","Ethnicity","Black","37.1","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"80",80,"01M378","School for Global Leaders","2017-18","s","Ethnicity","White","s","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,12.5,16,13,11.5,NA,NA,NA,"Manhattan"
"81",81,"01M450","East Side Community School","2017-18","97.3","Poverty","Not Poverty","5.9","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"82",82,"01M450","East Side Community School","2017-18","96.9","ELL Status","Not ELL","4.2","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"83",83,"01M450","East Side Community School","2017-18","97.7","Ethnicity","Asian","0.0","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"84",84,"01M450","East Side Community School","2017-18","97.0","Gender","Female","4.2","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"85",85,"01M450","East Side Community School","2017-18","96.6","Poverty","Poverty","3.3","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"86",86,"01M450","East Side Community School","2017-18","97.7","SWD Status","Not SWD","0.0","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"87",87,"01M450","East Side Community School","2017-18","94.7","Ethnicity","Other","14.3","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"88",88,"01M450","East Side Community School","2017-18","97.7","Ethnicity","Black","0.0","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"89",89,"01M450","East Side Community School","2017-18","96.7","Gender","Male","4.3","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"90",90,"01M450","East Side Community School","2017-18","95.4","SWD Status","SWD","12.1","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"91",91,"01M450","East Side Community School","2017-18","97.0","Ethnicity","White","0.0","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"92",92,"01M450","East Side Community School","2017-18","96.7","Ethnicity","Hispanic","6.7","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"93",93,"01M450","East Side Community School","2017-18","96.9","All Students","All Students","4.2","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.4,NA,2,NA,NA,NA,"Manhattan"
"94",94,"01M539","New Explorations into Science, Technology and Math","2017-18","95.1","Ethnicity","Hispanic","13.3","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"95",95,"01M539","New Explorations into Science, Technology and Math","2017-18","96.4","ELL Status","Not ELL","7.4","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"96",96,"01M539","New Explorations into Science, Technology and Math","2017-18","96.4","All Students","All Students","7.4","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"97",97,"01M539","New Explorations into Science, Technology and Math","2017-18","96.7","Ethnicity","Black","0.0","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"98",98,"01M539","New Explorations into Science, Technology and Math","2017-18","96.0","Ethnicity","White","9.5","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"99",99,"01M539","New Explorations into Science, Technology and Math","2017-18","97.5","Ethnicity","Asian","2.7","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"100",100,"01M539","New Explorations into Science, Technology and Math","2017-18","s","SWD Status","Not SWD","s","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"101",101,"01M539","New Explorations into Science, Technology and Math","2017-18","96.3","Poverty","Not Poverty","8.6","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"102",102,"01M539","New Explorations into Science, Technology and Math","2017-18","96.7","Gender","Female","3.9","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"103",103,"01M539","New Explorations into Science, Technology and Math","2017-18","s","SWD Status","SWD","s","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"104",104,"01M539","New Explorations into Science, Technology and Math","2017-18","97.0","Poverty","Poverty","0.0","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"105",105,"01M539","New Explorations into Science, Technology and Math","2017-18","96.6","Ethnicity","Other","10.0","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"106",106,"01M539","New Explorations into Science, Technology and Math","2017-18","96.0","Gender","Male","11.7","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,30.4,NA,NA,NA,NA,NA,"Manhattan"
"107",107,"01M839","Tompkins Square Middle School","2017-18","95.6","Gender","Male","11.1","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,30,31.7,NA,NA,NA,NA,NA,"Manhattan"
"108",108,"01M839","Tompkins Square Middle School","2017-18","s","ELL Status","ELL","s","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,30,31.7,NA,NA,NA,NA,NA,"Manhattan"
"109",109,"01M839","Tompkins Square Middle School","2017-18","95.4","Poverty","Poverty","13.0","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,30,31.7,NA,NA,NA,NA,NA,"Manhattan"
