"","DBN","Percent_Attendance","Demographic.Variable","X..Poverty","borough","self_contained_option","X..Male","X..Black","X..Female","X..White","Total.Enrollment","Economic.Need.Index","Percent_Chronically_Absent","X..Students.with.Disabilities"
"82","01M539",97.5,"Asian",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"2.7",0.081
"83","01M539",96.7,"Female",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"3.9",0.081
"84","01M539",96.6,"Other",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"10.0",0.081
"85","01M539",96,"Male",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"11.7",0.081
"86","01M539",96.4,"All Students",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"7.4",0.081
"87","01M839",95.4,"Poverty",0.694,"Manhattan",0,0.469,0.137,0.531,0.209,373,0.68,"13.0",0.276
"88","01M839",96.2,"White",0.694,"Manhattan",0,0.469,0.137,0.531,0.209,373,0.68,"3.4",0.276
"89","01M839",96.2,"Not SWD",0.694,"Manhattan",0,0.469,0.137,0.531,0.209,373,0.68,"5.3",0.276
"90","01M839",95.6,"Male",0.694,"Manhattan",0,0.469,0.137,0.531,0.209,373,0.68,"11.1",0.276
"91","01M839",98.5,"Asian",0.694,"Manhattan",0,0.469,0.137,0.531,0.209,373,0.68,"0.0",0.276
"92","01M839",95.7,"All Students",0.694,"Manhattan",0,0.469,0.137,0.531,0.209,373,0.68,"8.7",0.276
"93","01M839",93.4,"Hispanic",0.694,"Manhattan",0,0.469,0.137,0.531,0.209,373,0.68,"17.4",0.276
"94","01M839",94.3,"SWD",0.694,"Manhattan",0,0.469,0.137,0.531,0.209,373,0.68,"18.8",0.276
"95","01M839",95.8,"Female",0.694,"Manhattan",0,0.469,0.137,0.531,0.209,373,0.68,"6.3",0.276
"96","01M839",96.1,"Not Poverty",0.694,"Manhattan",0,0.469,0.137,0.531,0.209,373,0.68,"2.0",0.276
"97","02M104",92.6,"Black",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"28.1",0.175
"98","02M104",93.8,"ELL",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"33.3",0.175
"99","02M104",95.2,"Male",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"10.8",0.175
"100","02M104",95.1,"Poverty",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"15.3",0.175
"101","02M104",97.8,"Asian",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"1.5",0.175
"102","02M104",95.9,"Not SWD",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"6.9",0.175
"103","02M104",92.8,"Hispanic",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"24.7",0.175
"104","02M104",95.3,"Not ELL",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"10.2",0.175
"105","02M104",92.8,"SWD",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"26.8",0.175
"106","02M104",95.4,"Female",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"11.3",0.175
"107","02M104",96.4,"Other",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"0.0",0.175
"108","02M104",94.8,"White",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"8.7",0.175
"109","02M104",95.5,"Not Poverty",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"7.2",0.175
"110","02M104",95.3,"All Students",0.451,"Manhattan",0,0.534,0.075,0.466,0.347,1134,0.426,"11.0",0.175
"111","02M114",95.7,"Black",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"16.7",0.158
"112","02M114",96.7,"Not Poverty",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"2.9",0.158
"113","02M114",97,"Asian",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"0.0",0.158
"114","02M114",96.8,"Not SWD",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"2.3",0.158
"115","02M114",96.2,"Poverty",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"12.5",0.158
"116","02M114",96.9,"Female",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"3.8",0.158
"117","02M114",95,"Hispanic",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"28.6",0.158
"118","02M114",95.7,"SWD",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"15.8",0.158
"119","02M114",96.7,"White",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"1.9",0.158
"120","02M114",96.8,"Other",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"7.7",0.158
"121","02M114",96.7,"Not ELL",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"3.9",0.158
"122","02M114",96.5,"Male",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"4.1",0.158
"123","02M114",96.7,"All Students",0.111,"Manhattan",0,0.451,0.036,0.549,0.676,450,0.11,"3.9",0.158
"124","02M126",98.2,"Asian",0.8,"Manhattan",0,0.54,0.093,0.46,0.079,784,0.78,"3.0",0.194
"125","02M126",96.1,"Not Poverty",0.8,"Manhattan",0,0.54,0.093,0.46,0.079,784,0.78,"5.6",0.194
"126","02M126",94.2,"Hispanic",0.8,"Manhattan",0,0.54,0.093,0.46,0.079,784,0.78,"21.1",0.194
"127","02M126",96.9,"Poverty",0.8,"Manhattan",0,0.54,0.093,0.46,0.079,784,0.78,"9.1",0.194
"128","02M126",92.2,"SWD",0.8,"Manhattan",0,0.54,0.093,0.46,0.079,784,0.78,"25.0",0.194
"129","02M126",95.6,"White",0.8,"Manhattan",0,0.54,0.093,0.46,0.079,784,0.78,"6.3",0.194
"130","02M126",97.4,"Not SWD",0.8,"Manhattan",0,0.54,0.093,0.46,0.079,784,0.78,"5.2",0.194
"131","02M126",96.6,"All Students",0.8,"Manhattan",0,0.54,0.093,0.46,0.079,784,0.78,"8.0",0.194
"132","02M126",96.7,"Male",0.8,"Manhattan",0,0.54,0.093,0.46,0.079,784,0.78,"7.1",0.194
"133","02M126",96.6,"Female",0.8,"Manhattan",0,0.54,0.093,0.46,0.079,784,0.78,"9.3",0.194
"134","02M131",97.2,"Poverty",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"9.0",0.255
"135","02M131",97.7,"ELL",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"11.8",0.255
"136","02M131",98.2,"Not SWD",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"5.9",0.255
"137","02M131",96.9,"Not ELL",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"7.6",0.255
"138","02M131",99,"Asian",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"0.9",0.255
"139","02M131",88.9,"Hispanic",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"39.1",0.255
"140","02M131",97.2,"Male",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"7.8",0.255
"141","02M131",97.2,"Female",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"10.6",0.255
"142","02M131",97.1,"Not Poverty",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"11.1",0.255
"143","02M131",94.7,"SWD",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"17.1",0.255
"144","02M131",97.2,"All Students",0.936,"Manhattan",0,0.567,0.06,0.433,0.018,436,0.857,"9.1",0.255
"145","02M167",98.1,"Asian",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"2.8",0.17
"146","02M167",92.2,"Hispanic",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"33.8",0.17
"147","02M167",95.7,"Not Poverty",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"7.8",0.17
"148","02M167",96.3,"Other",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"0.0",0.17
"149","02M167",95.2,"Not ELL",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"12.7",0.17
"150","02M167",90.6,"SWD",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"37.2",0.17
"151","02M167",95.6,"Female",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"9.1",0.17
"152","02M167",95.2,"All Students",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"13.3",0.17
"153","02M167",95,"White",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"10.4",0.17
"154","02M167",94.8,"ELL",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"27.8",0.17
"155","02M167",94.8,"Male",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"17.1",0.17
"156","02M167",96.2,"Not SWD",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"8.1",0.17
"157","02M167",94.1,"Poverty",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"23.2",0.17
"158","02M167",90.9,"Black",0.314,"Manhattan",0,0.527,0.06,0.473,0.521,1336,0.298,"36.0",0.17
"159","02M177",93.8,"SWD",0.352,"Manhattan",0,0.502,0.12,0.498,0.494,233,0.328,"8.7",0.262
"160","02M177",91.3,"Poverty",0.352,"Manhattan",0,0.502,0.12,0.498,0.494,233,0.328,"13.3",0.262
"161","02M177",92.9,"Not SWD",0.352,"Manhattan",0,0.502,0.12,0.498,0.494,233,0.328,"16.1",0.262
"162","02M177",93.1,"All Students",0.352,"Manhattan",0,0.502,0.12,0.498,0.494,233,0.328,"14.1",0.262
"163","02M177",92.5,"Female",0.352,"Manhattan",0,0.502,0.12,0.498,0.494,233,0.328,"19.4",0.262
"164","02M177",86.5,"Black",0.352,"Manhattan",0,0.502,0.12,0.498,0.494,233,0.328,"20.0",0.262
"165","02M177",94.8,"White",0.352,"Manhattan",0,0.502,0.12,0.498,0.494,233,0.328,"21.9",0.262
"166","02M177",92.2,"Hispanic",0.352,"Manhattan",0,0.502,0.12,0.498,0.494,233,0.328,"6.9",0.262
"167","02M177",93.6,"Male",0.352,"Manhattan",0,0.502,0.12,0.498,0.494,233,0.328,"10.2",0.262
"168","02M177",94.1,"Not Poverty",0.352,"Manhattan",0,0.502,0.12,0.498,0.494,233,0.328,"14.5",0.262
"169","02M217",95.1,"Not Poverty",0.343,"Manhattan",1,0.49,0.114,0.51,0.385,616,0.28,"10.0",0.135
"170","02M217",97.7,"Asian",0.343,"Manhattan",1,0.49,0.114,0.51,0.385,616,0.28,"0.0",0.135
"171","02M217",94.2,"Male",0.343,"Manhattan",1,0.49,0.114,0.51,0.385,616,0.28,"14.3",0.135
"172","02M217",96.7,"Poverty",0.343,"Manhattan",1,0.49,0.114,0.51,0.385,616,0.28,"0.0",0.135
"173","02M217",96.8,"Female",0.343,"Manhattan",1,0.49,0.114,0.51,0.385,616,0.28,"0.0",0.135
"174","02M217",94.2,"White",0.343,"Manhattan",1,0.49,0.114,0.51,0.385,616,0.28,"14.3",0.135
"175","02M217",96,"Not ELL",0.343,"Manhattan",1,0.49,0.114,0.51,0.385,616,0.28,"5.6",0.135
"176","02M217",96,"All Students",0.343,"Manhattan",1,0.49,0.114,0.51,0.385,616,0.28,"4.2",0.135
"177","02M217",95.9,"ELL",0.343,"Manhattan",1,0.49,0.114,0.51,0.385,616,0.28,"0.0",0.135
"178","02M225",87.6,"Male",0.341,"Manhattan",0,0.503,0.166,0.497,0.372,320,0.344,"45.5",0.231
"179","02M225",91.8,"Not Poverty",0.341,"Manhattan",0,0.503,0.166,0.497,0.372,320,0.344,"36.4",0.231
"180","02M225",90,"Not ELL",0.341,"Manhattan",0,0.503,0.166,0.497,0.372,320,0.344,"33.3",0.231
"181","02M225",88,"Poverty",0.341,"Manhattan",0,0.503,0.166,0.497,0.372,320,0.344,"30.0",0.231
"182","02M225",92.6,"Female",0.341,"Manhattan",0,0.503,0.166,0.497,0.372,320,0.344,"20.0",0.231
"183","02M225",90,"All Students",0.341,"Manhattan",0,0.503,0.166,0.497,0.372,320,0.344,"33.3",0.231
"184","02M225",92.1,"Not SWD",0.341,"Manhattan",0,0.503,0.166,0.497,0.372,320,0.344,"30.8",0.231
"185","02M225",86.5,"SWD",0.341,"Manhattan",0,0.503,0.166,0.497,0.372,320,0.344,"37.5",0.231
"186","02M225",87.4,"Hispanic",0.341,"Manhattan",0,0.503,0.166,0.497,0.372,320,0.344,"50.0",0.231
"187","02M255",96.3,"Not ELL",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"1.5",0.168
"188","02M255",97.6,"Poverty",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"0.0",0.168
"189","02M255",96.5,"Female",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"2.6",0.168
"190","02M255",95.6,"Hispanic",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"7.1",0.168
"191","02M255",96.3,"All Students",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"1.5",0.168
"192","02M255",96.2,"Not Poverty",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"1.7",0.168
"193","02M255",96.4,"Not SWD",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"1.8",0.168
"194","02M255",96.3,"White",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"0.0",0.168
"195","02M255",96.1,"Male",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"0.0",0.168
"196","02M255",96.4,"Asian",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"0.0",0.168
"197","02M255",96,"SWD",0.106,"Manhattan",0,0.42,0.018,0.58,0.614,386,0.146,"0.0",0.168
"198","02M260",96.8,"Other",0.142,"Manhattan",0,0.318,0.046,0.682,0.641,604,0.204,"0.0",0.167
"199","02M260",96.7,"Not SWD",0.142,"Manhattan",0,0.318,0.046,0.682,0.641,604,0.204,"1.2",0.167
"200","02M260",96.1,"Male",0.142,"Manhattan",0,0.318,0.046,0.682,0.641,604,0.204,"3.0",0.167
"201","02M260",96.7,"White",0.142,"Manhattan",0,0.318,0.046,0.682,0.641,604,0.204,"1.6",0.167
"202","02M260",96.7,"Not ELL",0.142,"Manhattan",0,0.318,0.046,0.682,0.641,604,0.204,"1.0",0.167
"203","02M260",96.9,"SWD",0.142,"Manhattan",0,0.318,0.046,0.682,0.641,604,0.204,"0.0",0.167
"204","02M260",97.3,"Asian",0.142,"Manhattan",0,0.318,0.046,0.682,0.641,604,0.204,"0.0",0.167
"205","02M260",97,"Female",0.142,"Manhattan",0,0.318,0.046,0.682,0.641,604,0.204,"0.0",0.167
"206","02M260",96.7,"All Students",0.142,"Manhattan",0,0.318,0.046,0.682,0.641,604,0.204,"1.0",0.167
"207","02M276",94.9,"Poverty",0.135,"Manhattan",0,0.522,0.041,0.478,0.541,827,0.149,"15.4",0.192
"208","02M276",94.6,"White",0.135,"Manhattan",0,0.522,0.041,0.478,0.541,827,0.149,"11.5",0.192
"209","02M276",94.8,"Not SWD",0.135,"Manhattan",0,0.522,0.041,0.478,0.541,827,0.149,"13.4",0.192
"210","02M276",96,"Female",0.135,"Manhattan",0,0.522,0.041,0.478,0.541,827,0.149,"2.8",0.192
"211","02M276",94.4,"All Students",0.135,"Manhattan",0,0.522,0.041,0.478,0.541,827,0.149,"12.8",0.192
"212","02M276",93.2,"Male",0.135,"Manhattan",0,0.522,0.041,0.478,0.541,827,0.149,"20.0",0.192
"213","02M276",93,"SWD",0.135,"Manhattan",0,0.522,0.041,0.478,0.541,827,0.149,"10.5",0.192
"214","02M276",94.8,"Asian",0.135,"Manhattan",0,0.522,0.041,0.478,0.541,827,0.149,"13.3",0.192
"215","02M276",94.3,"Not Poverty",0.135,"Manhattan",0,0.522,0.041,0.478,0.541,827,0.149,"12.3",0.192
"216","02M276",93.5,"Other",0.135,"Manhattan",0,0.522,0.041,0.478,0.541,827,0.149,"12.5",0.192
"217","02M289",94.4,"SWD",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"9.1",0.233
"218","02M289",95.5,"Not SWD",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"8.5",0.233
"219","02M289",95.2,"All Students",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"8.6",0.233
"220","02M289",93.5,"White",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"10.3",0.233
"221","02M289",96.6,"Poverty",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"7.7",0.233
"222","02M289",90.6,"Hispanic",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"40.0",0.233
"223","02M289",93.6,"Not Poverty",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"9.8",0.233
"224","02M289",95.1,"Male",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"13.2",0.233
"225","02M289",98.2,"Asian",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"0.0",0.233
"226","02M289",95.2,"Not ELL",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"8.6",0.233
"227","02M289",95.3,"Female",0.502,"Manhattan",0,0.527,0.039,0.473,0.385,283,0.461,"5.5",0.233
"228","02M312",95.2,"Hispanic",0.388,"Manhattan",0,0.587,0.02,0.413,0.3,554,0.384,"12.5",0.164
