"","DBN","Percent_Attendance","Demographic.Variable","X..Poverty","borough","self_contained_option","gifted_talented_option","X..Male","X..Black","X..Female","X..White","Total.Enrollment","Economic.Need.Index","Percent_Chronically_Absent","X..Students.with.Disabilities"
"38","01M063",96.4,"Female",0.818,"Manhattan",0,0,0.507,0.182,0.493,0.118,203,0.762,"0.0",0.33
"39","01M063",93.8,"Male",0.818,"Manhattan",0,0,0.507,0.182,0.493,0.118,203,0.762,"20.0",0.33
"40","01M063",95.4,"Not ELL",0.818,"Manhattan",0,0,0.507,0.182,0.493,0.118,203,0.762,"8.0",0.33
"41","01M063",93.8,"SWD",0.818,"Manhattan",0,0,0.507,0.182,0.493,0.118,203,0.762,"22.2",0.33
"42","01M063",96.2,"Not SWD",0.818,"Manhattan",0,0,0.507,0.182,0.493,0.118,203,0.762,"0.0",0.33
"43","01M063",95.4,"All Students",0.818,"Manhattan",0,0,0.507,0.182,0.493,0.118,203,0.762,"8.0",0.33
"44","01M063",95.5,"Poverty",0.818,"Manhattan",0,0,0.507,0.182,0.493,0.118,203,0.762,"11.1",0.33
"45","01M063",94.9,"Hispanic",0.818,"Manhattan",0,0,0.507,0.182,0.493,0.118,203,0.762,"6.7",0.33
"46","01M064",94.4,"Not SWD",0.922,"Manhattan",0,0,0.588,0.208,0.412,0.053,245,0.882,"18.2",0.298
"47","01M064",94.3,"Male",0.922,"Manhattan",0,0,0.588,0.208,0.412,0.053,245,0.882,"12.0",0.298
"48","01M064",91.5,"SWD",0.922,"Manhattan",0,0,0.588,0.208,0.412,0.053,245,0.882,"26.7",0.298
"49","01M064",90.8,"Female",0.922,"Manhattan",0,0,0.588,0.208,0.412,0.053,245,0.882,"41.7",0.298
"50","01M064",91.9,"Black",0.922,"Manhattan",0,0,0.588,0.208,0.412,0.053,245,0.882,"14.3",0.298
"51","01M064",93.4,"Hispanic",0.922,"Manhattan",0,0,0.588,0.208,0.412,0.053,245,0.882,"23.1",0.298
"52","01M064",93.2,"All Students",0.922,"Manhattan",0,0,0.588,0.208,0.412,0.053,245,0.882,"21.6",0.298
"53","01M110",95.1,"Female",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"16.1",0.127
"54","01M110",92.6,"Black",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"28.6",0.127
"55","01M110",95.4,"Not ELL",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"11.5",0.127
"56","01M110",95.4,"All Students",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"11.5",0.127
"57","01M110",94,"Poverty",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"16.7",0.127
"58","01M110",97.3,"Not Poverty",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"4.0",0.127
"59","01M110",97.6,"White",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"6.7",0.127
"60","01M110",91.3,"SWD",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"25.0",0.127
"61","01M110",95.7,"Male",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"6.7",0.127
"62","01M110",96,"Not SWD",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"9.4",0.127
"63","01M110",93.4,"Hispanic",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,"14.3",0.127
"64","01M134",88.7,"All Students",0.919,"Manhattan",1,0,0.559,0.215,0.441,0.037,297,0.901,"50.8",0.418
"65","01M134",87.2,"Hispanic",0.919,"Manhattan",1,0,0.559,0.215,0.441,0.037,297,0.901,"57.1",0.418
"66","01M134",91.5,"Not SWD",0.919,"Manhattan",1,0,0.559,0.215,0.441,0.037,297,0.901,"37.9",0.418
"67","01M134",88.1,"Female",0.919,"Manhattan",1,0,0.559,0.215,0.441,0.037,297,0.901,"48.0",0.418
"68","01M134",89.2,"Male",0.919,"Manhattan",1,0,0.559,0.215,0.441,0.037,297,0.901,"52.8",0.418
"69","01M134",86.4,"SWD",0.919,"Manhattan",1,0,0.559,0.215,0.441,0.037,297,0.901,"62.5",0.418
"70","01M134",88.7,"Black",0.919,"Manhattan",1,0,0.559,0.215,0.441,0.037,297,0.901,"52.9",0.418
"71","01M140",92.6,"ELL",0.884,"Manhattan",1,0,0.509,0.124,0.491,0.027,371,0.913,"50.0",0.329
"72","01M140",92.2,"Not SWD",0.884,"Manhattan",1,0,0.509,0.124,0.491,0.027,371,0.913,"31.6",0.329
"73","01M140",88.6,"SWD",0.884,"Manhattan",1,0,0.509,0.124,0.491,0.027,371,0.913,"70.0",0.329
"74","01M140",91.8,"Female",0.884,"Manhattan",1,0,0.509,0.124,0.491,0.027,371,0.913,"25.0",0.329
"75","01M140",90.5,"Male",0.884,"Manhattan",1,0,0.509,0.124,0.491,0.027,371,0.913,"58.8",0.329
"76","01M140",90.7,"Not ELL",0.884,"Manhattan",1,0,0.509,0.124,0.491,0.027,371,0.913,"43.5",0.329
"77","01M140",91.4,"Hispanic",0.884,"Manhattan",1,0,0.509,0.124,0.491,0.027,371,0.913,"41.7",0.329
"78","01M140",91.1,"All Students",0.884,"Manhattan",1,0,0.509,0.124,0.491,0.027,371,0.913,"44.8",0.329
"79","01M142",94.1,"Female",0.976,"Manhattan",1,0,0.553,0.126,0.447,0.003,340,0.911,"16.7",0.374
"80","01M142",94,"Male",0.976,"Manhattan",1,0,0.553,0.126,0.447,0.003,340,0.911,"13.3",0.374
"81","01M142",94.1,"SWD",0.976,"Manhattan",1,0,0.553,0.126,0.447,0.003,340,0.911,"16.0",0.374
"82","01M142",94.1,"All Students",0.976,"Manhattan",1,0,0.553,0.126,0.447,0.003,340,0.911,"14.8",0.374
"83","01M142",93.9,"Hispanic",0.976,"Manhattan",1,0,0.553,0.126,0.447,0.003,340,0.911,"17.4",0.374
"84","01M142",94,"Not SWD",0.976,"Manhattan",1,0,0.553,0.126,0.447,0.003,340,0.911,"13.8",0.374
"85","01M184",98.1,"Poverty",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,"7.0",0.165
"86","01M184",97.9,"Male",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,"3.2",0.165
"87","01M184",97.5,"SWD",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,"9.1",0.165
"88","01M184",97.9,"Other",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,"0.0",0.165
"89","01M184",97.9,"Not SWD",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,"3.6",0.165
"90","01M184",97.4,"Not Poverty",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,"0.0",0.165
"91","01M184",97.8,"All Students",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,"4.5",0.165
"92","01M184",94.5,"Hispanic",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,"25.0",0.165
"93","01M184",99.1,"Asian",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,"0.0",0.165
"94","01M184",97.8,"Female",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,"5.6",0.165
"95","01M188",89.7,"All Students",0.921,"Manhattan",1,0,0.573,0.293,0.427,0.028,433,0.954,"34.0",0.312
"96","01M188",89.1,"Female",0.921,"Manhattan",1,0,0.573,0.293,0.427,0.028,433,0.954,"31.6",0.312
"97","01M188",86.4,"ELL",0.921,"Manhattan",1,0,0.573,0.293,0.427,0.028,433,0.954,"25.0",0.312
"98","01M188",89.8,"SWD",0.921,"Manhattan",1,0,0.573,0.293,0.427,0.028,433,0.954,"30.0",0.312
"99","01M188",89.6,"Not SWD",0.921,"Manhattan",1,0,0.573,0.293,0.427,0.028,433,0.954,"36.7",0.312
"100","01M188",90,"Male",0.921,"Manhattan",1,0,0.573,0.293,0.427,0.028,433,0.954,"35.5",0.312
"101","01M188",88.7,"Hispanic",0.921,"Manhattan",1,0,0.573,0.293,0.427,0.028,433,0.954,"32.3",0.312
"102","01M188",91.2,"Black",0.921,"Manhattan",1,0,0.573,0.293,0.427,0.028,433,0.954,"37.5",0.312
"103","01M188",90.3,"Not ELL",0.921,"Manhattan",1,0,0.573,0.293,0.427,0.028,433,0.954,"35.7",0.312
"104","01M315",97.6,"Not Poverty",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,"3.4",0.176
"105","01M315",96.3,"Male",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,"10.5",0.176
"106","01M315",96.7,"Not SWD",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,"9.1",0.176
"107","01M315",96.8,"White",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,"8.3",0.176
"108","01M315",96.6,"Not ELL",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,"9.5",0.176
"109","01M315",96.1,"SWD",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,"11.1",0.176
"110","01M315",96.9,"Female",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,"8.7",0.176
"111","01M315",96.6,"All Students",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,"9.5",0.176
"112","01M315",94.4,"Poverty",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,"23.1",0.176
"113","01M315",95.1,"Hispanic",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,"22.2",0.176
"114","01M361",94.7,"All Students",0.457,"Manhattan",0,0,0.537,0.092,0.463,0.352,315,0.505,"15.8",0.232
"115","01M361",95.6,"Female",0.457,"Manhattan",0,0,0.537,0.092,0.463,0.352,315,0.505,"6.7",0.232
"116","01M361",94.8,"SWD",0.457,"Manhattan",0,0,0.537,0.092,0.463,0.352,315,0.505,"12.5",0.232
"117","01M361",92.4,"Poverty",0.457,"Manhattan",0,0,0.537,0.092,0.463,0.352,315,0.505,"29.4",0.232
"118","01M361",94.1,"Male",0.457,"Manhattan",0,0,0.537,0.092,0.463,0.352,315,0.505,"21.7",0.232
"119","01M361",96.4,"Not Poverty",0.457,"Manhattan",0,0,0.537,0.092,0.463,0.352,315,0.505,"4.8",0.232
"120","01M361",94.5,"Hispanic",0.457,"Manhattan",0,0,0.537,0.092,0.463,0.352,315,0.505,"10.5",0.232
"121","01M361",94.7,"Not SWD",0.457,"Manhattan",0,0,0.537,0.092,0.463,0.352,315,0.505,"16.7",0.232
"122","01M361",96.4,"White",0.457,"Manhattan",0,0,0.537,0.092,0.463,0.352,315,0.505,"25.0",0.232
"123","01M539",97.5,"Female",0.239,"Manhattan",0,0,0.521,0.077,0.479,0.399,1734,0.282,"3.6",0.081
"124","01M539",97.6,"Poverty",0.239,"Manhattan",0,0,0.521,0.077,0.479,0.399,1734,0.282,"0.0",0.081
"125","01M539",97,"Not Poverty",0.239,"Manhattan",0,0,0.521,0.077,0.479,0.399,1734,0.282,"3.9",0.081
"126","01M539",97.1,"Not ELL",0.239,"Manhattan",0,0,0.521,0.077,0.479,0.399,1734,0.282,"3.4",0.081
"127","01M539",97.1,"Other",0.239,"Manhattan",0,0,0.521,0.077,0.479,0.399,1734,0.282,"0.0",0.081
"128","01M539",98.2,"Asian",0.239,"Manhattan",0,0,0.521,0.077,0.479,0.399,1734,0.282,"0.0",0.081
"129","01M539",96.7,"Male",0.239,"Manhattan",0,0,0.521,0.077,0.479,0.399,1734,0.282,"3.3",0.081
"130","01M539",97.1,"All Students",0.239,"Manhattan",0,0,0.521,0.077,0.479,0.399,1734,0.282,"3.4",0.081
"131","01M539",96.6,"White",0.239,"Manhattan",0,0,0.521,0.077,0.479,0.399,1734,0.282,"5.5",0.081
"132","02M001",94.7,"Poverty",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"19.0",0.283
"133","02M001",97.3,"Not SWD",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"8.9",0.283
"134","02M001",89.1,"SWD",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"38.5",0.283
"135","02M001",94.6,"Male",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"20.7",0.283
"136","02M001",96.3,"Female",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"10.3",0.283
"137","02M001",95.4,"All Students",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"15.5",0.283
"138","02M001",89.9,"Hispanic",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"38.1",0.283
"139","02M001",96.4,"ELL",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"13.3",0.283
"140","02M001",98.7,"Asian",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"2.7",0.283
"141","02M001",97.5,"Not Poverty",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"6.3",0.283
"142","02M001",95.1,"Not ELL",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,"16.3",0.283
"143","02M002",98.1,"All Students",0.966,"Manhattan",1,0,0.527,0.053,0.473,0.009,552,0.91,"6.4",0.228
"144","02M002",98.8,"ELL",0.966,"Manhattan",1,0,0.527,0.053,0.473,0.009,552,0.91,"4.5",0.228
"145","02M002",97.7,"Male",0.966,"Manhattan",1,0,0.527,0.053,0.473,0.009,552,0.91,"8.3",0.228
"146","02M002",98.4,"Female",0.966,"Manhattan",1,0,0.527,0.053,0.473,0.009,552,0.91,"4.3",0.228
"147","02M002",94.7,"SWD",0.966,"Manhattan",1,0,0.527,0.053,0.473,0.009,552,0.91,"22.2",0.228
"148","02M002",98.9,"Not SWD",0.966,"Manhattan",1,0,0.527,0.053,0.473,0.009,552,0.91,"2.6",0.228
"149","02M002",99,"Asian",0.966,"Manhattan",1,0,0.527,0.053,0.473,0.009,552,0.91,"1.2",0.228
"150","02M002",97.8,"Not ELL",0.966,"Manhattan",1,0,0.527,0.053,0.473,0.009,552,0.91,"6.9",0.228
"151","02M003",96.7,"Not SWD",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"3.4",0.208
"152","02M003",96.3,"Not ELL",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"6.0",0.208
"153","02M003",95.1,"Hispanic",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"8.7",0.208
"154","02M003",97.3,"ELL",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"0.0",0.208
"155","02M003",96.6,"Black",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"0.0",0.208
"156","02M003",98.2,"Asian",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"0.0",0.208
"157","02M003",95.9,"Poverty",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"9.4",0.208
"158","02M003",95.5,"SWD",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"11.8",0.208
"159","02M003",97.3,"Other",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"0.0",0.208
"160","02M003",96.5,"Not Poverty",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"4.4",0.208
"161","02M003",96.2,"Female",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"3.2",0.208
"162","02M003",96.5,"Male",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"8.2",0.208
"163","02M003",96.4,"All Students",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"5.7",0.208
"164","02M003",96.3,"White",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,"6.9",0.208
"165","02M006",95.7,"All Students",0.12,"Manhattan",0,0,0.51,0.024,0.49,0.745,694,0.124,"9.3",0.17
"166","02M006",95.8,"Not Poverty",0.12,"Manhattan",0,0,0.51,0.024,0.49,0.745,694,0.124,"6.5",0.17
"167","02M006",97.2,"Not SWD",0.12,"Manhattan",0,0,0.51,0.024,0.49,0.745,694,0.124,"4.9",0.17
"168","02M006",90.9,"SWD",0.12,"Manhattan",0,0,0.51,0.024,0.49,0.745,694,0.124,"24.0",0.17
"169","02M006",97.3,"Female",0.12,"Manhattan",0,0,0.51,0.024,0.49,0.745,694,0.124,"4.2",0.17
"170","02M006",95.7,"White",0.12,"Manhattan",0,0,0.51,0.024,0.49,0.745,694,0.124,"7.1",0.17
"171","02M006",95,"Poverty",0.12,"Manhattan",0,0,0.51,0.024,0.49,0.745,694,0.124,"28.6",0.17
"172","02M006",95.8,"Hispanic",0.12,"Manhattan",0,0,0.51,0.024,0.49,0.745,694,0.124,"16.7",0.17
"173","02M006",94.5,"Male",0.12,"Manhattan",0,0,0.51,0.024,0.49,0.745,694,0.124,"13.6",0.17
"174","02M011",92.1,"ELL",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"25.0",0.148
"175","02M011",97.6,"Not SWD",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"3.7",0.148
"176","02M011",93.7,"Poverty",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"17.0",0.148
"177","02M011",95.7,"Hispanic",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"11.8",0.148
"178","02M011",98.2,"Not Poverty",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"0.9",0.148
"179","02M011",90.8,"Black",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"22.2",0.148
"180","02M011",97.1,"Male",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"4.7",0.148
"181","02M011",92.2,"SWD",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"18.2",0.148
"182","02M011",97.1,"Not ELL",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"4.7",0.148
"183","02M011",96.9,"All Students",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"5.7",0.148
"184","02M011",98.1,"White",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"1.4",0.148
"185","02M011",96.6,"Female",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,"7.0",0.148
"186","02M033",91.2,"Hispanic",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"34.1",0.155
"187","02M033",88.9,"SWD",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"52.4",0.155
"188","02M033",93.5,"All Students",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"24.6",0.155
"189","02M033",95.1,"Other",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"12.5",0.155
"190","02M033",89.5,"Poverty",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"42.2",0.155
"191","02M033",92.6,"Male",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"28.3",0.155
"192","02M033",94.4,"Not SWD",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"18.3",0.155
"193","02M033",94.1,"Female",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"22.1",0.155
"194","02M033",98.9,"Asian",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"0.0",0.155
"195","02M033",97.6,"White",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"0.0",0.155
"196","02M033",84.9,"Black",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"63.2",0.155
"197","02M033",97.9,"Not Poverty",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,"2.0",0.155
"198","02M040",98.6,"Other",0.1,"Manhattan",0,0,0.486,0.015,0.514,0.617,673,0.164,"0.0",0.174
"199","02M040",98.7,"Asian",0.1,"Manhattan",0,0,0.486,0.015,0.514,0.617,673,0.164,"0.0",0.174
"200","02M040",97.9,"SWD",0.1,"Manhattan",0,0,0.486,0.015,0.514,0.617,673,0.164,"0.0",0.174
"201","02M040",97.9,"Female",0.1,"Manhattan",0,0,0.486,0.015,0.514,0.617,673,0.164,"0.0",0.174
"202","02M040",97.9,"Male",0.1,"Manhattan",0,0,0.486,0.015,0.514,0.617,673,0.164,"0.0",0.174
"203","02M040",97.9,"All Students",0.1,"Manhattan",0,0,0.486,0.015,0.514,0.617,673,0.164,"0.0",0.174
"204","02M040",97.7,"White",0.1,"Manhattan",0,0,0.486,0.015,0.514,0.617,673,0.164,"0.0",0.174
"205","02M040",97.9,"Not SWD",0.1,"Manhattan",0,0,0.486,0.015,0.514,0.617,673,0.164,"0.0",0.174
"206","02M041",97.6,"Hispanic",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"0.0",0.156
"207","02M041",97.9,"Male",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"0.0",0.156
"208","02M041",97.5,"Poverty",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"0.0",0.156
"209","02M041",97.9,"SWD",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"0.0",0.156
"210","02M041",97.8,"Not SWD",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"1.9",0.156
"211","02M041",97.7,"Female",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"2.9",0.156
"212","02M041",97.8,"All Students",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"1.6",0.156
"213","02M041",97.8,"Not Poverty",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"1.8",0.156
"214","02M041",97.8,"White",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"1.1",0.156
"215","02M041",97.8,"Not ELL",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"1.6",0.156
"216","02M041",97.9,"Other",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,"7.7",0.156
"217","02M042",98.7,"All Students",0.763,"Manhattan",0,0,0.53,0.014,0.47,0.025,653,0.824,"1.1",0.172
"218","02M042",98.6,"Not ELL",0.763,"Manhattan",0,0,0.53,0.014,0.47,0.025,653,0.824,"1.4",0.172
"219","02M042",99.1,"SWD",0.763,"Manhattan",0,0,0.53,0.014,0.47,0.025,653,0.824,"0.0",0.172
"220","02M042",98.5,"Not Poverty",0.763,"Manhattan",0,0,0.53,0.014,0.47,0.025,653,0.824,"0.0",0.172
