"","DBN","School Name.x","Year.x","Percent_Attendance","Demographic Category","Demographic Variable","Percent_Chronically_Absent","School Name.y","Year.y","Total Enrollment","Grade 3","% Female","% Male","% Black","% White","% Students with Disabilities","% Poverty","Economic Need Index","Gen Ed","ICT","SC 12:1","SC 12:1:1","SC 15:1","SC 6:1:1","SC 8:1:1"
"13","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","Asian","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"14","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","Other","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"15","01M140","P.S. 140 Nathan Straus","2017-18","s","Ethnicity","Asian","s","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"16","01M140","P.S. 140 Nathan Straus","2017-18","s","Ethnicity","White","s","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"17","01M140","P.S. 140 Nathan Straus","2017-18","90.3","All Students","All Students","39.1","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"18","01M140","P.S. 140 Nathan Straus","2017-18","94.8","Poverty","Not Poverty","12.5","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"19","01M140","P.S. 140 Nathan Straus","2017-18","90.7","SWD Status","SWD","44.8","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"20","01M140","P.S. 140 Nathan Straus","2017-18","90.7","Gender","Female","47.1","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"21","01M140","P.S. 140 Nathan Straus","2017-18","90.0","Gender","Male","31.4","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"22","01M140","P.S. 140 Nathan Straus","2017-18","90.0","SWD Status","Not SWD","35.0","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"23","01M140","P.S. 140 Nathan Straus","2017-18","89.9","ELL Status","Not ELL","39.3","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"24","01M140","P.S. 140 Nathan Straus","2017-18","89.8","Poverty","Poverty","42.6","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"25","01M140","P.S. 140 Nathan Straus","2017-18","93.8","ELL Status","ELL","37.5","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"26","01M140","P.S. 140 Nathan Straus","2017-18","96.0","Ethnicity","Black","16.7","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"27","01M140","P.S. 140 Nathan Straus","2017-18","89.5","Ethnicity","Hispanic","42.1","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,28,NA,9.2,NA,NA,NA
"28","01M184","P.S. 184m Shuang Wen","2017-18","93.8","Ethnicity","Hispanic","18.2","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"29","01M184","P.S. 184m Shuang Wen","2017-18","s","Ethnicity","White","s","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"30","01M184","P.S. 184m Shuang Wen","2017-18","98.3","Poverty","Poverty","5.2","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"31","01M184","P.S. 184m Shuang Wen","2017-18","98.2","Poverty","Not Poverty","3.8","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"32","01M184","P.S. 184m Shuang Wen","2017-18","97.7","Gender","Male","7.1","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"33","01M184","P.S. 184m Shuang Wen","2017-18","99.6","Ethnicity","Asian","0.0","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"34","01M184","P.S. 184m Shuang Wen","2017-18","s","Ethnicity","Black","s","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"35","01M184","P.S. 184m Shuang Wen","2017-18","99.2","SWD Status","Not SWD","0.0","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"36","01M184","P.S. 184m Shuang Wen","2017-18","98.9","Gender","Female","2.4","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"37","01M184","P.S. 184m Shuang Wen","2017-18","99.2","ELL Status","ELL","0.0","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"38","01M184","P.S. 184m Shuang Wen","2017-18","98.2","ELL Status","Not ELL","5.3","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"39","01M184","P.S. 184m Shuang Wen","2017-18","98.3","All Students","All Students","4.8","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"40","01M184","P.S. 184m Shuang Wen","2017-18","94.6","SWD Status","SWD","23.5","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,26,28.5,NA,NA,NA,NA,NA
"41","01M188","P.S. 188 The Island School","2017-18","s","ELL Status","Not ELL","s","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"42","01M188","P.S. 188 The Island School","2017-18","87.8","Ethnicity","Hispanic","40.5","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"43","01M188","P.S. 188 The Island School","2017-18","88.5","SWD Status","SWD","50.0","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"44","01M188","P.S. 188 The Island School","2017-18","s","ELL Status","ELL","s","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"45","01M188","P.S. 188 The Island School","2017-18","s","Poverty","Not Poverty","s","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"46","01M188","P.S. 188 The Island School","2017-18","s","Ethnicity","Black","s","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"47","01M188","P.S. 188 The Island School","2017-18","s","Ethnicity","White","s","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"48","01M188","P.S. 188 The Island School","2017-18","s","Poverty","Poverty","s","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"49","01M188","P.S. 188 The Island School","2017-18","88.0","Gender","Female","48.0","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"50","01M188","P.S. 188 The Island School","2017-18","88.8","All Students","All Students","42.4","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"51","01M188","P.S. 188 The Island School","2017-18","88.9","SWD Status","Not SWD","37.8","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"52","01M188","P.S. 188 The Island School","2017-18","89.3","Gender","Male","38.2","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,25,22,NA,18,NA,NA,NA
"53","01M332","University Neighborhood Middle School","2017-18","88.8","Ethnicity","Hispanic","30.4","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"54","01M332","University Neighborhood Middle School","2017-18","91.2","SWD Status","Not SWD","27.0","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"55","01M332","University Neighborhood Middle School","2017-18","s","Ethnicity","White","s","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"56","01M332","University Neighborhood Middle School","2017-18","89.8","All Students","All Students","27.9","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"57","01M332","University Neighborhood Middle School","2017-18","88.8","Ethnicity","Black","35.7","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"58","01M332","University Neighborhood Middle School","2017-18","88.4","Gender","Female","30.0","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"59","01M332","University Neighborhood Middle School","2017-18","89.1","Poverty","Poverty","30.5","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"60","01M332","University Neighborhood Middle School","2017-18","94.4","Poverty","Not Poverty","11.1","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"61","01M332","University Neighborhood Middle School","2017-18","s","ELL Status","ELL","s","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"62","01M332","University Neighborhood Middle School","2017-18","s","Ethnicity","Asian","s","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"63","01M332","University Neighborhood Middle School","2017-18","88.3","SWD Status","SWD","29.0","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"64","01M332","University Neighborhood Middle School","2017-18","s","ELL Status","Not ELL","s","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"65","01M332","University Neighborhood Middle School","2017-18","91.0","Gender","Male","26.3","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,28.5,NA,11,NA,NA,NA
"66","01M378","School for Global Leaders","2017-18","86.0","Ethnicity","Hispanic","54.4","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"67","01M378","School for Global Leaders","2017-18","91.4","Gender","Female","37.1","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"68","01M378","School for Global Leaders","2017-18","88.0","Gender","Male","42.6","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"69","01M378","School for Global Leaders","2017-18","89.2","All Students","All Students","40.6","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"70","01M378","School for Global Leaders","2017-18","84.0","SWD Status","SWD","52.8","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"71","01M378","School for Global Leaders","2017-18","98.1","Ethnicity","Asian","0.0","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"72","01M378","School for Global Leaders","2017-18","89.9","Ethnicity","Black","40.0","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"73","01M378","School for Global Leaders","2017-18","92.4","SWD Status","Not SWD","33.3","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"74","01M378","School for Global Leaders","2017-18","88.0","ELL Status","Not ELL","46.8","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"75","01M378","School for Global Leaders","2017-18","88.9","Poverty","Poverty","41.3","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"76","01M378","School for Global Leaders","2017-18","91.0","Poverty","Not Poverty","37.5","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"77","01M378","School for Global Leaders","2017-18","95.8","ELL Status","ELL","11.8","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"78","01M378","School for Global Leaders","2017-18","s","Ethnicity","White","s","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"79","01M378","School for Global Leaders","2017-18","s","Ethnicity","Other","s","School for Global Leaders","2017-18",256,0,0.434,0.566,0.273,0.016,0.391,0.828,0.853,18,19.5,13,11.5,NA,NA,NA
"80","01M450","East Side Community School","2017-18","96.6","Gender","Female","4.3","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"81","01M450","East Side Community School","2017-18","s","Ethnicity","Asian","s","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"82","01M450","East Side Community School","2017-18","96.2","Ethnicity","White","5.9","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"83","01M450","East Side Community School","2017-18","s","Ethnicity","Other","s","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"84","01M450","East Side Community School","2017-18","97.0","Ethnicity","Hispanic","4.6","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"85","01M450","East Side Community School","2017-18","97.0","ELL Status","Not ELL","4.7","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"86","01M450","East Side Community School","2017-18","96.2","SWD Status","SWD","8.1","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"87","01M450","East Side Community School","2017-18","97.5","Poverty","Not Poverty","2.1","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"88","01M450","East Side Community School","2017-18","97.5","SWD Status","Not SWD","2.9","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"89","01M450","East Side Community School","2017-18","97.0","All Students","All Students","4.7","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"90","01M450","East Side Community School","2017-18","96.6","Poverty","Poverty","6.8","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"91","01M450","East Side Community School","2017-18","s","Ethnicity","Black","s","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"92","01M450","East Side Community School","2017-18","97.3","Gender","Male","5.0","East Side Community School","2017-18",683,0,0.464,0.536,0.165,0.146,0.266,0.654,0.629,NA,12.1,NA,2,NA,NA,NA
"93","01M539","New Explorations into Science, Technology and Math","2017-18","98.2","Gender","Female","0.0","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"94","01M539","New Explorations into Science, Technology and Math","2017-18","97.8","SWD Status","Not SWD","0.7","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"95","01M539","New Explorations into Science, Technology and Math","2017-18","97.0","Ethnicity","White","2.6","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"96","01M539","New Explorations into Science, Technology and Math","2017-18","97.2","Gender","Male","2.5","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"97","01M539","New Explorations into Science, Technology and Math","2017-18","97.7","Poverty","Poverty","0.0","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"98","01M539","New Explorations into Science, Technology and Math","2017-18","97.7","All Students","All Students","1.3","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"99","01M539","New Explorations into Science, Technology and Math","2017-18","s","Ethnicity","Other","s","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"100","01M539","New Explorations into Science, Technology and Math","2017-18","96.1","SWD Status","SWD","7.1","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"101","01M539","New Explorations into Science, Technology and Math","2017-18","97.7","ELL Status","Not ELL","1.3","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"102","01M539","New Explorations into Science, Technology and Math","2017-18","97.7","Poverty","Not Poverty","1.5","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"103","01M539","New Explorations into Science, Technology and Math","2017-18","98.7","Ethnicity","Asian","0.0","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"104","01M539","New Explorations into Science, Technology and Math","2017-18","s","Ethnicity","Hispanic","s","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"105","01M539","New Explorations into Science, Technology and Math","2017-18","97.6","Ethnicity","Black","0.0","New Explorations into Science, Technology and Math","2017-18",1734,122,0.479,0.521,0.077,0.399,0.081,0.239,0.282,NA,29.8,NA,NA,NA,NA,NA
"106","01M839","Tompkins Square Middle School","2017-18","98.0","Ethnicity","Asian","3.0","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"107","01M839","Tompkins Square Middle School","2017-18","95.6","All Students","All Students","12.2","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"108","01M839","Tompkins Square Middle School","2017-18","97.9","Poverty","Not Poverty","0.0","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"109","01M839","Tompkins Square Middle School","2017-18","92.4","SWD Status","SWD","25.0","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"110","01M839","Tompkins Square Middle School","2017-18","94.4","Gender","Male","18.5","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"111","01M839","Tompkins Square Middle School","2017-18","s","Ethnicity","Other","s","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"112","01M839","Tompkins Square Middle School","2017-18","96.6","Gender","Female","7.2","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"113","01M839","Tompkins Square Middle School","2017-18","96.5","Ethnicity","White","4.3","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"114","01M839","Tompkins Square Middle School","2017-18","93.2","Ethnicity","Hispanic","26.2","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"115","01M839","Tompkins Square Middle School","2017-18","s","ELL Status","ELL","s","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"116","01M839","Tompkins Square Middle School","2017-18","s","ELL Status","Not ELL","s","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"117","01M839","Tompkins Square Middle School","2017-18","94.9","Poverty","Poverty","16.3","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"118","01M839","Tompkins Square Middle School","2017-18","97.0","SWD Status","Not SWD","6.9","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"119","01M839","Tompkins Square Middle School","2017-18","s","Ethnicity","Black","s","Tompkins Square Middle School","2017-18",373,0,0.531,0.469,0.137,0.209,0.276,0.694,0.68,31,30.3,NA,NA,NA,NA,NA
"120","02M104","J.H.S. 104 Simon Baruch","2017-18","97.2","SWD Status","Not SWD","6.2","J.H.S. 104 Simon Baruch","2017-18",1134,0,0.466,0.534,0.075,0.347,0.175,0.451,0.426,31.9,29.3,7.7,NA,NA,NA,NA
