"","DBN","School Name.x","Year.x","Percent_Attendance","Demographic Category","Demographic Variable","School Name.y","Year.y","Total Enrollment","Grade 3","% Female","% Male","% Black","% White","% Students with Disabilities","% Poverty","Economic Need Index","G&T","Gen Ed","ICT","ICT & G&T","SC 12:1","SC 12:1:1","SC 15:1","SC 6:1:1","SC 8:1:1"
"49","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.2","All Students","All Students","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"50","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Poverty","Poverty","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"51","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","93.3","ELL Status","ELL","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"52","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Poverty","Not Poverty","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"53","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","90.1","Gender","Male","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"54","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","92.6","Gender","Female","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"55","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","92.7","SWD Status","Not SWD","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"56","01M063","The STAR Academy - P.S.63","2017-18","s","ELL Status","Not ELL","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"57","01M063","The STAR Academy - P.S.63","2017-18","94.4","All Students","All Students","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"58","01M063","The STAR Academy - P.S.63","2017-18","s","Poverty","Poverty","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"59","01M063","The STAR Academy - P.S.63","2017-18","93.2","Gender","Female","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"60","01M063","The STAR Academy - P.S.63","2017-18","s","Ethnicity","Hispanic","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"61","01M063","The STAR Academy - P.S.63","2017-18","95.3","SWD Status","Not SWD","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"62","01M063","The STAR Academy - P.S.63","2017-18","s","Poverty","Not Poverty","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"63","01M063","The STAR Academy - P.S.63","2017-18","95.3","Gender","Male","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"64","01M063","The STAR Academy - P.S.63","2017-18","s","ELL Status","ELL","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"65","01M063","The STAR Academy - P.S.63","2017-18","s","Ethnicity","Black","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"66","01M063","The STAR Academy - P.S.63","2017-18","92.2","SWD Status","SWD","The STAR Academy - P.S.63","2017-18",203,22,0.493,0.507,0.182,0.118,0.33,0.818,0.762,NA,NA,22,NA,NA,NA,NA,NA,NA
"67","01M064","P.S. 064 Robert Simon","2017-18","91.7","Ethnicity","Hispanic","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"68","01M064","P.S. 064 Robert Simon","2017-18","s","ELL Status","Not ELL","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"69","01M064","P.S. 064 Robert Simon","2017-18","s","Poverty","Poverty","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"70","01M064","P.S. 064 Robert Simon","2017-18","s","Poverty","Not Poverty","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"71","01M064","P.S. 064 Robert Simon","2017-18","s","Ethnicity","White","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"72","01M064","P.S. 064 Robert Simon","2017-18","87.7","SWD Status","SWD","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"73","01M064","P.S. 064 Robert Simon","2017-18","s","ELL Status","ELL","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"74","01M064","P.S. 064 Robert Simon","2017-18","92.9","SWD Status","Not SWD","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"75","01M064","P.S. 064 Robert Simon","2017-18","s","Ethnicity","Black","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"76","01M064","P.S. 064 Robert Simon","2017-18","91.1","All Students","All Students","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"77","01M064","P.S. 064 Robert Simon","2017-18","92.1","Gender","Male","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"78","01M064","P.S. 064 Robert Simon","2017-18","90.2","Gender","Female","P.S. 064 Robert Simon","2017-18",245,30,0.412,0.588,0.208,0.053,0.298,0.922,0.882,NA,NA,30,NA,NA,NA,NA,NA,NA
"79","01M110","P.S. 110 Florence Nightingale","2017-18","94.0","Gender","Male","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"80","01M110","P.S. 110 Florence Nightingale","2017-18","96.8","Ethnicity","Asian","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"81","01M110","P.S. 110 Florence Nightingale","2017-18","s","Ethnicity","Other","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"82","01M110","P.S. 110 Florence Nightingale","2017-18","97.1","Ethnicity","White","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"83","01M110","P.S. 110 Florence Nightingale","2017-18","95.1","SWD Status","Not SWD","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"84","01M110","P.S. 110 Florence Nightingale","2017-18","94.2","All Students","All Students","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"85","01M110","P.S. 110 Florence Nightingale","2017-18","90.9","SWD Status","SWD","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"86","01M110","P.S. 110 Florence Nightingale","2017-18","92.4","Poverty","Poverty","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"87","01M110","P.S. 110 Florence Nightingale","2017-18","s","ELL Status","ELL","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"88","01M110","P.S. 110 Florence Nightingale","2017-18","96.9","Poverty","Not Poverty","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"89","01M110","P.S. 110 Florence Nightingale","2017-18","s","ELL Status","Not ELL","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"90","01M110","P.S. 110 Florence Nightingale","2017-18","91.9","Ethnicity","Hispanic","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"91","01M110","P.S. 110 Florence Nightingale","2017-18","s","Ethnicity","Black","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"92","01M110","P.S. 110 Florence Nightingale","2017-18","94.4","Gender","Female","P.S. 110 Florence Nightingale","2017-18",379,48,0.438,0.562,0.098,0.261,0.127,0.625,0.58,28,NA,16,NA,NA,11,NA,NA,NA
"93","01M134","P.S. 134 Henrietta Szold","2017-18","s","Poverty","Not Poverty","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"94","01M134","P.S. 134 Henrietta Szold","2017-18","92.3","Gender","Male","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"95","01M134","P.S. 134 Henrietta Szold","2017-18","92.2","All Students","All Students","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"96","01M134","P.S. 134 Henrietta Szold","2017-18","91.3","SWD Status","SWD","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"97","01M134","P.S. 134 Henrietta Szold","2017-18","s","Ethnicity","White","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"98","01M134","P.S. 134 Henrietta Szold","2017-18","92.3","Ethnicity","Black","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"99","01M134","P.S. 134 Henrietta Szold","2017-18","96.2","ELL Status","ELL","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"100","01M134","P.S. 134 Henrietta Szold","2017-18","91.3","Ethnicity","Hispanic","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"101","01M134","P.S. 134 Henrietta Szold","2017-18","91.7","ELL Status","Not ELL","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"102","01M134","P.S. 134 Henrietta Szold","2017-18","s","Poverty","Poverty","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"103","01M134","P.S. 134 Henrietta Szold","2017-18","92.0","Gender","Female","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"104","01M134","P.S. 134 Henrietta Szold","2017-18","s","Ethnicity","Asian","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"105","01M134","P.S. 134 Henrietta Szold","2017-18","92.9","SWD Status","Not SWD","P.S. 134 Henrietta Szold","2017-18",297,52,0.441,0.559,0.215,0.037,0.418,0.919,0.901,NA,22,23,NA,NA,10.3,NA,NA,NA
"106","01M140","P.S. 140 Nathan Straus","2017-18","89.2","All Students","All Students","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,16,NA,NA,NA,9.2,NA,NA,NA
"107","01M140","P.S. 140 Nathan Straus","2017-18","s","ELL Status","Not ELL","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,16,NA,NA,NA,9.2,NA,NA,NA
"108","01M140","P.S. 140 Nathan Straus","2017-18","s","Ethnicity","White","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,16,NA,NA,NA,9.2,NA,NA,NA
"109","01M140","P.S. 140 Nathan Straus","2017-18","88.6","Ethnicity","Hispanic","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,16,NA,NA,NA,9.2,NA,NA,NA
"110","01M140","P.S. 140 Nathan Straus","2017-18","89.2","Gender","Female","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,16,NA,NA,NA,9.2,NA,NA,NA
"111","01M140","P.S. 140 Nathan Straus","2017-18","s","Ethnicity","Asian","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,16,NA,NA,NA,9.2,NA,NA,NA
"112","01M140","P.S. 140 Nathan Straus","2017-18","s","ELL Status","ELL","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,16,NA,NA,NA,9.2,NA,NA,NA
"113","01M140","P.S. 140 Nathan Straus","2017-18","s","Poverty","Not Poverty","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,16,NA,NA,NA,9.2,NA,NA,NA
"114","01M140","P.S. 140 Nathan Straus","2017-18","s","Ethnicity","Black","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,NA,16,NA,NA,NA,9.2,NA,NA,NA
